Company,Symbol,Shares Outstanding,Last Date,Last Price,Last Statement Date,Debt/Short Term,Debt/Long Term,Total Debt,Interest Rate,sigma,A,R,eta,CCM,mu,TiC Risk Score,DD,EDF,PIT PD,TTC PD,SP Rating,Outlook,lambda,Rating Basis
Costco Wholesale Corporation,COST,443478803.1864827,2026-07-24,935.030029296875,2026-05-31,0,8136000000,8136000000,0.0415,0.1861341327295839,441061876329.7875,0.1521773642659446,0.1695003219494418,0.0485843699556987,30.79323734617109,0.1577761032707392,25.99314263252767,2.960034647502052e-149,4.619227096098247e-131,0.0001000000000000001,AAA,-0.0001000000000000001,0.9313114237057016,ANALYTICAL
The Coca-Cola Company,KO,4302482621.860183,2026-07-24,82.25,2026-03-31,4825000000,39065000000,43890000000,0.0415,0.1481271391319375,425176203491.1023,0.09585793224456222,0.1068287569182684,0.08004352856720141,29.83231332217237,0.2683115040485661,19.95260165490279,7.114411319498234e-89,1.045572747697568e-77,0.0001000000000000001,AAA,-0.0001000000000000001,0.8909187754042318,ANALYTICAL
Dell Technologies Inc.,DELL,646142417.7737143,2026-07-24,437.5,2026-04-30,7550000000,23611000000,31161000000,0.0415,0.5628641278816006,306386362206.1566,0.6464816284171869,0.8048896416451443,0.1774384248536792,4.27215591114761,4.15336959942585,6.05537246002104,7.004656710382596e-10,0.0001405731221852464,0.00141379785045894,A-,-0.001273224728273693,0.7826952408357124,GRID_INTERIOR
Oracle Corporation,ORCL,2880471107.760242,2026-07-24,114.9899978637695,2026-05-31,7199000000,148990000000,156189000000,0.0415,0.5476447816642424,436190903356.0569,0.07211571219804086,0.2220731156400787,2.482718139673226,23.22794004858834,10.6884989993941,3.190416872750542,0.0007103385226656278,0.003300684103494545,0.01086071364546954,BB,-0.007560029541974996,0.1538588592344476,GRID_INTERIOR
"The PNC Financial Services Group, Inc.",PNC,399000002.1683236,2026-07-24,250.9900054931641,2026-03-31,0,66666000000,66666000000,0.0415,0.157148620152106,146526904209.2138,0.1262137962829555,0.1385616406908109,0.1321474021211468,11.73137330792277,1.126444437940622,10.22519291313604,7.646158512343284e-25,6.239898733832133e-18,0.0002094196262206129,AAA-,-0.0002094196262206067,0.8301289093446792,GRID_INTERIOR
Walmart Inc.,WMT,7958078836.699993,2026-07-24,109.4700012207031,2026-04-30,17082000000,57097000000,74179000000,0.0415,0.2265803771516385,953686417591.3545,0.2674205742203668,0.2930899078754562,0.06315542809115177,11.36695847340389,0.555605338393038,14.59605274689685,1.487916619877967e-48,1.84646506067151e-34,0.0001000000000000001,AAA,-0.0001000000000000001,0.9122310673389504,ANALYTICAL
Intuit Inc.,INTU,273536982.5565482,2026-07-24,296.3299865722656,2026-04-30,833000000,6067000000,6900000000,0.0415,0.4401555800101672,90445162330.9715,-0.09911639037061412,-0.002247923063570773,,,1.949536782841185,6.936814547363115,2.005198622463659e-12,,,,,,NOT_APPLICABLE
"Amazon.com, Inc.",AMZN,10757109674.80238,2026-07-24,232.1100006103516,2026-03-31,0,209888000000,209888000000,0.0415,0.3056951382222128,2597510689832.075,0.290192437452753,0.3369171962191019,0.1003545876905129,11.0577725319496,0.9075479478399009,11.44628737521431,1.227168343710102e-30,1.217710577565639e-21,0.0002001665018339594,AAA-,-0.0002001665018339594,0.8663652258594753,GRID_INTERIOR
AT&T Inc.,T,6852385869.488234,2026-07-24,24.1299991607666,2026-06-30,9323000000,153565000000,162888000000,0.0415,0.1376288691823842,303622102277.9677,0.0862002230880754,0.0956710759042863,0.1743683189224884,14.61957417015455,1.192704499413235,9.78290954511742,6.666087954215895e-23,1.36866517658616e-17,0.0002011915703881599,AAA-,-0.0002011915703881462,0.7857665010211666,GRID_INTERIOR
The Kraft Heinz Company,KHC,1185777635.743371,2026-07-24,25.67000007629395,2026-03-31,1910000000,19223000000,21133000000,0.0415,0.1513692228630455,52875520670.27313,-0.05304317231930027,-0.04158685150421911,,,0.9868737958007037,9.715861845948085,1.290282869340055e-22,,,,,,NOT_APPLICABLE
